Temps;EA0;Temps;EA1
0,00735;0,462186105549335;0,00735;-2,50921101309359
0,0074;0,427360450848937;0,0074;-2,51419158279896
0,00745;0,41741026379168;0,00745;-2,49924987368286
0,0075;0,382584609091282;0,0075;-2,50423044338822
0,00755;0,362684234976768;0,00755;-2,49924987368286
0,0076;0,32785858027637;0,0076;-2,49924987368286
0,00765;0,307958206161857;0,00765;-2,49426930397749
0,0077;0,26815745793283;0,0077;-2,50423044338822
0,00775;0,243281990289688;0,00775;-2,49924987368286
0,0078;0,223381616175175;0,0078;-2,49924987368286
0,00785;0,188555961474776;0,00785;-2,49924987368286
0,0079;0,163680493831635;0,0079;-2,50423044338822
0,00795;0,148755213245749;0,00795;-2,48928873427212
0,008;0,113929558545351;0,008;-2,49426930397749
0,00805;0,0840789973735809;0,00805;-2,49924987368286
0,0081;0,0542284362018108;0,0081;-2,49924987368286
0,00815;0,00945259444415569;0,00815;-2,51419158279896
0,0082;-0,0104477796703577;0,0082;-2,51419158279896
0,00825;-0,0253730602562428;0,00825;-2,50423044338822
0,0083;-0,0452734343707561;0,0083;-2,49924987368286
0,00835;-0,0950243696570396;0,00835;-2,51917215250432
0,0084;-0,0950243696570396;0,0084;-2,50423044338822
0,00845;-0,119899837300181;0,00845;-2,50423044338822
0,0085;-0,144775304943323;0,0085;-2,49924987368286
0,00855;-0,169650772586465;0,00855;-2,50423044338822
0,0086;-0,134825117886066;0,0086;-2,45940531603992
0,00865;-0,204476427286863;0,00865;-2,49924987368286
0,0087;-0,224376801401377;0,0087;-2,49426930397749
0,00875;-0,264177549630404;0,00875;-2,49924987368286
0,0088;-0,284077923744917;0,0088;-2,50423044338822
0,00885;-0,299003204330802;0,00885;-2,49924987368286
0,0089;-0,328853765502572;0,0089;-2,50423044338822
0,00895;-0,373629607260227;0,00895;-2,52415272220969
0,009;-0,363679420202971;0,009;-2,49924987368286
0,00905;-0,373629607260227;0,00905;-2,48928873427212
0,0091;-0,408455261960626;0,0091;-2,50423044338822
0,00915;-0,438305823132396;0,00915;-2,50423044338822
0,0092;-0,453231103718281;0,0092;-2,50423044338822
0,00925;-0,473131477832794;0,00925;-2,50423044338822
0,0093;-0,498006945475936;0,0093;-2,50423044338822
0,00935;-0,517907319590449;0,00935;-2,50921101309359
0,0094;-0,537807693704963;0,0094;-2,50921101309359
0,00945;-0,537807693704963;0,00945;-2,48928873427212
0,0095;-0,572633348405361;0,0095;-2,50423044338822
0,00955;-0,597508816048503;0,00955;-2,50921101309359
0,0096;-0,612434096634388;0,0096;-2,50423044338822
